"","Index","Age","Gender","Education","Country","Ethnicity","Nscore","Escore","Oscore","Ascore","Cscore","Impulsive","SS","Alcohol","Amphet","Amyl","Benzos","Caff","Cannabis","Choc","Coke","Crack","Ecstasy","Heroin","Ketamine","Legalh","LSD","Meth","Mushrooms","Nicotine","Semer","VSA"
"803",803,"18-24","Female","University degree","Canada","White",1.98437,-1.50796,1.43533,-1.772,0.41594,0.52975,0.07987,"Used in Last Day","Used in Last Month","Used in Last Year","Used in Last Day","Used in Last Day","Used in Last Decade","Used in Last Month","Used in Last Day","Used in Last Month","Used in Last Month","Used in Last Day","Used in Last Week","Used in Last Month","Used in Last Week","Never Used","Used in Last Week","Used in Last Day","Never Used","Never Used"
"804",804,"25-34","Male","Some college or university, no certificate or degree","USA","White",-0.24649,0.16767,-0.31776,-0.45321,-0.89891,1.29221,0.7654,"Used in Last Decade","Used in Last Day","Never Used","Used in Last Day","Used in Last Day","Used in Last Year","Used in Last Month","Used in Last Year","Used in Last Decade","Used in Last Decade","Used in Last Year","Used in Last Year","Never Used","Used in Last Decade","Used in Last Year","Used in Last Year","Used in Last Day","Never Used","Used over a Decade Ago"
"805",805,"18-24","Male","Left school at 17 years","Australia","White",-0.34799,0.80523,0.7233,0.59042,-0.89891,1.86203,1.2247,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Used in Last Year","Never Used","Used in Last Month","Used in Last Year","Never Used","Never Used"
"806",806,"18-24","Female","Some college or university, no certificate or degree","USA","White",1.02119,0.80523,1.06238,-1.07533,-0.52745,0.88113,1.2247,"Used in Last Day","Never Used","Never Used","Used in Last Week","Used in Last Day","Used in Last Year","Used in Last Week","Used in Last Year","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Month","Never Used","Used in Last Day","Never Used","Never Used"
"807",807,"18-24","Male","University degree","USA","White",0.41667,-1.92173,-0.97631,0.76096,-1.5184,-1.37983,-0.84637,"Used in Last Year","Used in Last Year","Never Used","Used in Last Year","Used in Last Day","Used in Last Year","Used in Last Day","Used in Last Year","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Used in Last Day","Never Used","Used in Last Decade"
"808",808,"18-24","Male","Professional certificate/diploma","UK","White",-1.69163,-0.80615,-1.27553,1.81866,-0.14277,-0.21712,-0.84637,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Month","Used in Last Month","Used in Last Month","Used in Last Year","Never Used","Used in Last Year","Never Used","Used in Last Year","Used in Last Year","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"809",809,"18-24","Male","Left school at 18 years","USA","White",-1.69163,0.80523,1.06238,-0.91699,-0.40581,-0.71126,0.07987,"Used in Last Year","Never Used","Never Used","Never Used","Used in Last Year","Used in Last Month","Used in Last Month","Never Used","Never Used","Used in Last Week","Never Used","Used in Last Year","Used in Last Year","Used in Last Year","Never Used","Used in Last Month","Never Used","Never Used","Used in Last Year"
"810",810,"45-54","Female","University degree","USA","White",1.23461,1.74091,0.88309,-1.92595,-1.64101,0.88113,1.2247,"Used in Last Day","Used in Last Month","Used over a Decade Ago","Used in Last Decade","Used in Last Day","Used in Last Year","Used in Last Day","Used in Last Year","Used in Last Decade","Used in Last Year","Used over a Decade Ago","Never Used","Used in Last Month","Used over a Decade Ago","Used in Last Year","Used over a Decade Ago","Used in Last Month","Never Used","Never Used"
"811",811,"18-24","Male","Some college or university, no certificate or degree","USA","White",1.13281,-0.69509,-0.01928,-1.34289,-0.89891,1.29221,1.2247,"Used in Last Month","Never Used","Never Used","Used in Last Month","Used in Last Day","Used in Last Week","Used in Last Month","Used in Last Year","Never Used","Never Used","Used in Last Year","Used in Last Week","Used in Last Day","Never Used","Never Used","Used in Last Year","Used in Last Day","Never Used","Used in Last Year"
"812",812,"25-34","Male","University degree","USA","White",0.52135,-0.57545,0.7233,-1.6209,0.41594,-0.21712,0.40148,"Used in Last Year","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Day","Used in Last Decade","Used in Last Week","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Week","Never Used","Used in Last Year","Used in Last Decade","Used in Last Year","Never Used","Used in Last Day","Never Used","Used in Last Decade"
"813",813,"18-24","Male","Some college or university, no certificate or degree","UK","White",-0.67825,0.00332,-0.45174,-0.91699,0.25953,0.52975,1.92173,"Used in Last Week","Used in Last Year","Used in Last Month","Never Used","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Year","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Month","Used in Last Year","Never Used","Used in Last Year","Used in Last Day","Never Used","Used in Last Decade"
"814",814,"18-24","Male","Some college or university, no certificate or degree","Canada","White",2.46262,0.32197,0.29338,-0.91699,-1.0145,1.86203,1.2247,"Used in Last Week","Used in Last Decade","Never Used","Used in Last Day","Used in Last Week","Used in Last Week","Used in Last Month","Used in Last Year","Used in Last Week","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Decade","Used in Last Decade","Used in Last Year","Used in Last Decade","Used in Last Day","Never Used","Used in Last Decade"
"815",815,"18-24","Female","Some college or university, no certificate or degree","USA","White",0.13606,-0.94779,-0.01928,0.43852,0.7583,-0.21712,-0.52593,"Used in Last Year","Never Used","Never Used","Never Used","Used over a Decade Ago","Used in Last Week","Used in Last Week","Never Used","Never Used","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Month","Used in Last Year","Never Used","Used in Last Month","Never Used","Never Used","Never Used"
"816",816,"45-54","Male","Doctorate degree","Australia","White",0.62967,0.16767,0.88309,2.46262,0.25953,-0.71126,0.40148,"Used in Last Month","Used in Last Year","Used in Last Decade","Used in Last Month","Used in Last Month","Used in Last Week","Used in Last Month","Used in Last Decade","Used over a Decade Ago","Used in Last Decade","Used in Last Year","Used over a Decade Ago","Used in Last Decade","Used in Last Decade","Used over a Decade Ago","Used in Last Decade","Used in Last Year","Never Used","Used over a Decade Ago"
"817",817,"25-34","Female","Masters degree","UK","White",1.60383,-0.80615,-0.01928,-0.30172,-1.13788,0.19268,0.40148,"Used in Last Week","Used in Last Decade","Used in Last Year","Used in Last Week","Used in Last Day","Used in Last Day","Used in Last Week","Used in Last Decade","Never Used","Used in Last Month","Never Used","Used in Last Month","Used in Last Day","Never Used","Never Used","Used in Last Decade","Used in Last Week","Never Used","Used over a Decade Ago"
"818",818,"18-24","Male","Some college or university, no certificate or degree","Australia","Asian",-0.67825,1.74091,0.7233,0.13136,0.41594,0.88113,1.92173,"Used in Last Year","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Month","Used in Last Week","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Used in Last Week","Used in Last Month","Used in Last Year","Never Used"
"819",819,"18-24","Female","University degree","USA","White",-0.34799,0.32197,-0.17779,-0.15487,0.12331,0.88113,1.2247,"Used in Last Week","Used in Last Month","Never Used","Never Used","Used in Last Day","Used in Last Decade","Used in Last Month","Used in Last Month","Never Used","Used in Last Year","Never Used","Used in Last Year","Used in Last Decade","Used in Last Year","Never Used","Used in Last Year","Used in Last Year","Never Used","Used in Last Year"
"820",820,"18-24","Male","Some college or university, no certificate or degree","UK","White",-0.05188,1.11406,0.7233,-0.45321,0.41594,-0.21712,1.2247,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used"
"821",821,"18-24","Male","Some college or university, no certificate or degree","USA","White",-0.05188,0.16767,0.7233,0.28783,-0.40581,0.88113,1.2247,"Used in Last Month","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Month","Never Used","Never Used","Used in Last Month","Never Used","Never Used","Used in Last Year","Used in Last Week","Used in Last Week","Used in Last Year","Used in Last Day","Never Used","Never Used"
"822",822,"18-24","Male","Some college or university, no certificate or degree","Other","Mixed-Black/Asian",0.04257,-0.30033,-0.17779,-2.07848,-2.04506,1.29221,1.2247,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Week","Used in Last Week","Never Used","Used in Last Month","Used in Last Day","Never Used","Used in Last Month"
"823",823,"18-24","Male","University degree","Australia","White",0.62967,-2.11437,-2.8595,0.94156,-1.38502,-0.71126,-1.18084,"Used in Last Week","Used in Last Day","Never Used","Used in Last Week","Used in Last Day","Used in Last Week","Used in Last Day","Never Used","Never Used","Used in Last Decade","Never Used","Never Used","Never Used","Never Used","Used in Last Month","Never Used","Used in Last Day","Never Used","Never Used"
"824",824,"18-24","Male","University degree","USA","White",0.52135,0.63779,0.14143,-1.07533,1.30612,-0.21712,0.40148,"Used in Last Day","Used in Last Decade","Never Used","Used in Last Month","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Week","Used in Last Week","Used in Last Day","Never Used","Used in Last Year","Used in Last Week","Used in Last Day","Used in Last Decade","Used in Last Decade","Never Used","Never Used"
"825",825,"18-24","Male","Some college or university, no certificate or degree","USA","White",0.13606,1.45421,1.24033,-1.21213,-0.78155,0.52975,0.7654,"Used in Last Year","Used in Last Day","Never Used","Used in Last Month","Used in Last Day","Used in Last Day","Used in Last Week","Used in Last Month","Used in Last Year","Used in Last Day","Used in Last Month","Used in Last Year","Used in Last Day","Used in Last Month","Used in Last Week","Used in Last Month","Never Used","Never Used","Never Used"
"826",826,"18-24","Male","University degree","Other","White",-0.92104,0.47617,-0.01928,-0.76096,-0.40581,0.19268,0.40148,"Used in Last Day","Used in Last Decade","Never Used","Used in Last Month","Used in Last Day","Used in Last Year","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Month","Never Used","Never Used"
"827",827,"25-34","Female","Doctorate degree","Australia","White",1.72012,0.47617,1.06238,0.59042,0.12331,-1.37983,0.7654,"Used in Last Week","Used in Last Year","Never Used","Never Used","Used in Last Year","Used in Last Year","Used in Last Day","Never Used","Never Used","Used in Last Week","Never Used","Never Used","Never Used","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used"
"828",828,"18-24","Male","Some college or university, no certificate or degree","USA","White",0.13606,0.63779,1.88511,1.2861,-0.27607,-1.37983,0.40148,"Used in Last Month","Used in Last Year","Never Used","Never Used","Used in Last Day","Used in Last Month","Used in Last Day","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Never Used","Used in Last Month","Never Used","Never Used"
"829",829,"18-24","Male","Professional certificate/diploma","UK","White",0.31287,-0.43999,-0.71727,0.94156,-0.14277,0.19268,-0.21575,"Used in Last Day","Used in Last Day","Used in Last Decade","Never Used","Used in Last Day","Used in Last Week","Used in Last Week","Used in Last Year","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Decade","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Never Used"
"830",830,"18-24","Male","Some college or university, no certificate or degree","USA","White",0.91093,-0.80615,0.14143,0.59042,-0.14277,-0.21712,0.7654,"Used in Last Month","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Year","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Never Used"
"831",831,"25-34","Female","Masters degree","USA","White",0.13606,-0.94779,1.43533,0.13136,0.58489,0.52975,1.92173,"Used in Last Day","Used in Last Year","Used over a Decade Ago","Used in Last Week","Used in Last Day","Used in Last Day","Used in Last Week","Used over a Decade Ago","Never Used","Used in Last Week","Never Used","Used over a Decade Ago","Used in Last Week","Used in Last Week","Never Used","Used in Last Year","Used in Last Year","Never Used","Never Used"
"832",832,"45-54","Female","Doctorate degree","USA","White",0.04257,0.16767,-0.01928,-0.76096,-0.78155,0.88113,0.7654,"Used in Last Day","Used in Last Day","Used over a Decade Ago","Used in Last Month","Used in Last Month","Used over a Decade Ago","Used in Last Month","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used over a Decade Ago"
"833",833,"25-34","Female","Masters degree","USA","White",0.82562,-0.69509,-0.01928,-0.30172,0.58489,-0.21712,-0.84637,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Never Used"
"834",834,"18-24","Male","University degree","USA","White",0.52135,-0.94779,-0.45174,-0.15487,-0.14277,-0.21712,0.07987,"Used in Last Day","Used in Last Year","Never Used","Used in Last Decade","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Month","Never Used","Used in Last Month","Never Used","Used in Last Decade","Used in Last Year","Used in Last Year","Used in Last Decade","Used in Last Year","Used in Last Day","Never Used","Used in Last Decade"
"835",835,"18-24","Male","University degree","Australia","White",-1.69163,0.16767,-0.01928,-0.30172,-1.5184,0.19268,0.07987,"Used in Last Month","Never Used","Used in Last Month","Never Used","Used in Last Day","Used in Last Month","Used in Last Month","Never Used","Never Used","Used in Last Month","Never Used","Never Used","Used in Last Month","Used in Last Month","Never Used","Used in Last Month","Never Used","Never Used","Never Used"
"836",836,"45-54","Male","Masters degree","USA","White",-0.34799,0.32197,0.14143,-1.21213,0.25953,0.19268,0.40148,"Used in Last Year","Used in Last Day","Used in Last Year","Used in Last Decade","Used in Last Day","Used in Last Decade","Used in Last Month","Used in Last Decade","Never Used","Used in Last Decade","Never Used","Used in Last Decade","Never Used","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Used in Last Year"
"837",837,"18-24","Male","Some college or university, no certificate or degree","Australia","White",-1.69163,1.74091,0.58331,0.43852,0.93949,1.29221,0.07987,"Used in Last Month","Never Used","Never Used","Never Used","Used in Last Month","Used in Last Month","Used in Last Year","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Used in Last Month","Never Used","Never Used","Used in Last Week"
"838",838,"18-24","Male","Left school at 18 years","UK","White",0.73545,0.00332,2.15324,0.13136,-1.5184,1.29221,0.7654,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Year","Used in Last Day","Never Used","Never Used","Used in Last Month","Never Used","Used in Last Month","Used in Last Week","Used in Last Year","Never Used","Used in Last Year","Used in Last Day","Never Used","Used in Last Decade"
"839",839,"25-34","Male","University degree","USA","White",0.22393,-1.37639,0.58331,-2.78793,-0.00665,0.88113,1.2247,"Used in Last Week","Used in Last Day","Used in Last Decade","Used in Last Week","Used in Last Day","Used in Last Week","Used in Last Week","Used in Last Year","Used in Last Decade","Used in Last Year","Used in Last Year","Used in Last Decade","Used in Last Year","Used in Last Year","Used in Last Day","Used in Last Year","Used in Last Day","Never Used","Used in Last Decade"
"840",840,"18-24","Male","Some college or university, no certificate or degree","USA","White",-0.58016,-0.15487,0.88309,-0.45321,-1.25773,1.86203,0.7654,"Used in Last Month","Used in Last Month","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Never Used","Used in Last Month","Never Used","Used in Last Year"
"841",841,"18-24","Male","Some college or university, no certificate or degree","USA","White",-0.67825,0.00332,0.29338,1.81866,1.30612,-0.21712,-0.52593,"Used in Last Year","Used in Last Decade","Never Used","Used in Last Year","Used in Last Week","Used in Last Day","Used in Last Month","Used in Last Decade","Never Used","Used in Last Month","Never Used","Never Used","Used in Last Year","Used in Last Year","Never Used","Used in Last Year","Never Used","Never Used","Never Used"
"842",842,"25-34","Female","Some college or university, no certificate or degree","USA","White",0.52135,-0.43999,0.14143,-1.07533,-0.27607,-1.37983,0.07987,"Used in Last Day","Used over a Decade Ago","Never Used","Used in Last Month","Used in Last Day","Used in Last Year","Used in Last Month","Used over a Decade Ago","Never Used","Never Used","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used over a Decade Ago","Never Used","Never Used","Used over a Decade Ago","Never Used","Never Used"
"843",843,"18-24","Female","Some college or university, no certificate or degree","USA","White",0.31287,0.80523,1.06238,1.11406,-0.52745,0.19268,0.40148,"Used in Last Week","Never Used","Never Used","Used in Last Decade","Used in Last Month","Used in Last Month","Used in Last Day","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Year","Never Used","Used in Last Year","Used in Last Year","Used in Last Month","Never Used","Used in Last Decade"
"844",844,"35-44","Male","Some college or university, no certificate or degree","USA","White",0.91093,-1.6334,-1.42424,-0.15487,0.25953,-1.37983,-1.54858,"Used in Last Day","Never Used","Never Used","Used in Last Week","Used in Last Day","Used in Last Decade","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Month","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Never Used"
"845",845,"18-24","Female","Professional certificate/diploma","Canada","White",0.52135,-0.43999,-1.55521,1.11406,-0.65253,0.19268,-0.52593,"Used in Last Decade","Used in Last Day","Never Used","Never Used","Used in Last Week","Used in Last Decade","Used in Last Day","Used in Last Decade","Never Used","Used in Last Year","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Used in Last Day","Never Used","Never Used"
"846",846,"25-34","Male","University degree","USA","White",0.62967,-0.43999,0.29338,-1.92595,-0.89891,0.52975,0.7654,"Used in Last Year","Used in Last Day","Used in Last Decade","Used in Last Day","Used in Last Day","Used in Last Year","Used in Last Month","Used in Last Month","Used in Last Decade","Used in Last Year","Used in Last Month","Used in Last Month","Never Used","Used in Last Year","Used in Last Decade","Used in Last Week","Used in Last Day","Never Used","Used over a Decade Ago"
"847",847,"18-24","Male","Left school at 18 years","USA","White",0.52135,0.63779,1.06238,-1.07533,-0.40581,1.29221,1.2247,"Used in Last Day","Used in Last Day","Never Used","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Year","Used in Last Year","Used in Last Decade","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Used in Last Week","Used in Last Year","Never Used","Used in Last Decade"
"848",848,"55-64","Male","Masters degree","USA","White",-1.69163,0.00332,1.24033,1.2861,0.41594,0.19268,0.07987,"Used in Last Month","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Day","Used over a Decade Ago","Never Used","Never Used","Never Used","Never Used","Used in Last Decade","Used over a Decade Ago","Never Used","Used in Last Year","Never Used","Never Used","Never Used"
"849",849,"18-24","Male","Masters degree","Other","White",0.41667,-0.94779,0.44585,-0.30172,0.41594,0.19268,0.40148,"Used in Last Week","Never Used","Used in Last Decade","Never Used","Used in Last Day","Used in Last Week","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Month","Used in Last Day","Never Used","Used over a Decade Ago"
"850",850,"18-24","Male","Some college or university, no certificate or degree","USA","White",-0.79151,1.45421,1.43533,0.94156,0.12331,0.52975,0.07987,"Never Used","Used in Last Decade","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Day","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Month","Never Used","Never Used","Never Used"
"851",851,"25-34","Male","University degree","USA","White",0.73545,0.16767,-1.42424,-1.21213,-1.25773,0.19268,1.2247,"Used in Last Decade","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Day","Used in Last Decade","Used in Last Day","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Year","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Year","Never Used","Used in Last Decade"
"852",852,"18-24","Male","Some college or university, no certificate or degree","USA","White",0.04257,0.00332,1.43533,0.13136,-0.27607,0.19268,0.07987,"Used in Last Week","Used in Last Week","Never Used","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Week","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Year","Used in Last Decade","Used in Last Month","Used in Last Decade","Used in Last Year","Never Used","Never Used"
"853",853,"18-24","Female","Some college or university, no certificate or degree","USA","White",-0.34799,0.16767,-0.01928,-0.15487,-1.0145,1.29221,0.7654,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Month","Used in Last Day","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Never Used","Used in Last Year","Used in Last Decade","Used in Last Year","Used in Last Month","Never Used","Never Used"
"854",854,"18-24","Male","Not Provided","Canada","Mixed-White/Black",0.52135,0.80523,0.58331,-1.07533,-1.13788,0.52975,1.2247,"Used in Last Week","Used in Last Month","Used in Last Decade","Used in Last Year","Used in Last Week","Used in Last Week","Used in Last Week","Used in Last Week","Used in Last Month","Used in Last Year","Used in Last Week","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Month","Used in Last Decade","Used in Last Day","Never Used","Used over a Decade Ago"
"855",855,"25-34","Male","Some college or university, no certificate or degree","UK","White",-1.05308,0.47617,1.88511,1.61108,0.41594,-0.21712,0.07987,"Used in Last Decade","Used in Last Year","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Day","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Year","Never Used","Used in Last Year","Used in Last Year","Used in Last Year","Never Used","Used in Last Year","Used in Last Day","Never Used","Never Used"
"856",856,"18-24","Male","Professional certificate/diploma","USA","Not Provided",0.52135,1.2861,-0.17779,0.59042,2.04506,0.88113,1.2247,"Used in Last Week","Used in Last Week","Never Used","Used in Last Year","Used in Last Month","Used in Last Week","Used in Last Day","Used in Last Week","Never Used","Used in Last Year","Used in Last Year","Used in Last Year","Never Used","Used in Last Decade","Used in Last Day","Used in Last Year","Used in Last Day","Never Used","Never Used"
"857",857,"25-34","Male","Left school at 17 years","Canada","White",1.37297,-0.80615,-0.45174,-1.92595,-1.64101,0.19268,-0.52593,"Used in Last Month","Used in Last Day","Used in Last Year","Used in Last Day","Used in Last Day","Used in Last Month","Used in Last Day","Used in Last Week","Used in Last Week","Used in Last Month","Used in Last Day","Used in Last Month","Never Used","Used in Last Decade","Used in Last Day","Used in Last Year","Used in Last Day","Never Used","Never Used"
"858",858,"18-24","Male","Some college or university, no certificate or degree","USA","White",-1.05308,2.32338,1.06238,-0.15487,0.93949,0.88113,0.7654,"Used in Last Week","Used in Last Week","Never Used","Used in Last Month","Used in Last Day","Used in Last Day","Used in Last Month","Used in Last Year","Never Used","Used in Last Week","Never Used","Never Used","Used in Last Month","Never Used","Used in Last Year","Used in Last Year","Used in Last Month","Never Used","Never Used"
"859",859,"18-24","Female","Some college or university, no certificate or degree","Other","Asian",1.02119,-1.23177,1.06238,-1.07533,-1.25773,2.90161,0.40148,"Used in Last Year","Used in Last Day","Never Used","Used in Last Day","Used in Last Month","Used in Last Decade","Used in Last Week","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Decade","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"860",860,"25-34","Male","Some college or university, no certificate or degree","Other","White",0.62967,0.80523,1.06238,-0.45321,-1.78169,1.29221,0.7654,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Day","Never Used","Never Used","Used in Last Year","Never Used","Used in Last Decade","Used in Last Week","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Day","Never Used","Never Used"
"861",861,"18-24","Male","University degree","UK","White",0.04257,-0.15487,-0.17779,-0.60633,-0.40581,1.86203,1.2247,"Used in Last Day","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Year","Used in Last Day","Used in Last Month","Used in Last Month","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Decade","Used in Last Month","Used in Last Decade","Used in Last Decade","Used in Last Month","Never Used","Never Used"
"862",862,"18-24","Male","Some college or university, no certificate or degree","Canada","White",-1.86962,1.2861,2.15324,0.76096,0.93949,-0.71126,0.07987,"Never Used","Never Used","Never Used","Never Used","Used in Last Week","Used in Last Day","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Used in Last Week","Used in Last Decade","Used in Last Year","Used in Last Week","Never Used","Never Used"
"863",863,"18-24","Male","Some college or university, no certificate or degree","Republic of Ireland","White",1.60383,-0.57545,-0.17779,-1.6209,-0.65253,-0.71126,0.7654,"Used in Last Day","Used over a Decade Ago","Used in Last Month","Used in Last Month","Used in Last Day","Used in Last Day","Used in Last Week","Used in Last Month","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Day","Used over a Decade Ago","Used in Last Year","Used in Last Decade","Used in Last Day","Never Used","Used over a Decade Ago"
"864",864,"18-24","Female","Some college or university, no certificate or degree","USA","White",-0.14882,1.11406,-0.58331,-0.60633,-0.78155,0.88113,0.07987,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Month","Used in Last Week","Never Used","Never Used","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used"
"865",865,"18-24","Male","Some college or university, no certificate or degree","Canada","White",0.41667,-1.09207,0.58331,0.59042,-0.78155,0.19268,-0.21575,"Used in Last Week","Used in Last Week","Never Used","Used in Last Week","Used in Last Decade","Used in Last Month","Used in Last Month","Used in Last Month","Never Used","Used in Last Year","Never Used","Used in Last Year","Used in Last Week","Used in Last Decade","Used in Last Month","Used in Last Year","Used in Last Week","Never Used","Never Used"
"866",866,"18-24","Female","Some college or university, no certificate or degree","USA","White",-0.05188,1.2861,1.43533,0.76096,2.04506,0.52975,1.2247,"Used in Last Day","Used in Last Year","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Month","Never Used","Never Used","Used in Last Day","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"867",867,"18-24","Female","Some college or university, no certificate or degree","USA","White",-1.32828,0.32197,0.7233,0.94156,1.63088,-0.71126,0.40148,"Used in Last Week","Used in Last Year","Never Used","Never Used","Used in Last Week","Used in Last Week","Used in Last Month","Never Used","Never Used","Used in Last Decade","Never Used","Never Used","Used in Last Year","Used in Last Year","Used in Last Month","Used in Last Month","Used in Last Month","Never Used","Never Used"
"868",868,"45-54","Male","Professional certificate/diploma","UK","White",1.60383,-0.69509,0.88309,-0.30172,-1.78169,1.29221,1.92173,"Used in Last Year","Used over a Decade Ago","Used in Last Decade","Used in Last Decade","Used in Last Day","Used in Last Year","Used in Last Day","Used in Last Decade","Never Used","Used in Last Decade","Used over a Decade Ago","Used in Last Decade","Used in Last Year","Used over a Decade Ago","Used over a Decade Ago","Used over a Decade Ago","Used in Last Day","Never Used","Never Used"
"869",869,"25-34","Male","University degree","USA","White",0.91093,-0.80615,1.06238,-0.45321,1.13407,0.88113,1.92173,"Used in Last Day","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Day","Used in Last Decade","Used in Last Day","Used in Last Decade","Used over a Decade Ago","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Month","Used in Last Decade","Used in Last Month","Used in Last Year","Never Used","Never Used"
"870",870,"18-24","Male","Masters degree","USA","White",0.22393,1.58487,0.14143,-1.6209,-1.0145,0.52975,0.40148,"Used in Last Week","Used in Last Month","Never Used","Used in Last Week","Used in Last Day","Used in Last Week","Used in Last Day","Used in Last Month","Never Used","Used in Last Month","Never Used","Never Used","Used in Last Week","Never Used","Used in Last Day","Never Used","Used in Last Day","Never Used","Used in Last Month"
